Date,Time,K18,K21,K22,Traditional
2026-01-21,23:12:51,17125,19975,20930,14045
2026-01-21,23:15:11,17125,19975,20930,14045
2026-01-21,23:31:26,17125,19975,20930,14045
2026-01-21,23:41:03,17125,19975,20930,14045
2026-01-21,17:42:49,0,0,0,0
2026-01-21,23:55:33,17710,20660,21645,14545
2026-01-21,18:08:44,0,0,0,0
2026-01-21,18:20:13,0,0,0,0
2026-01-21,18:31:01,0,0,0,0
2026-01-21,18:42:51,0,0,0,0
2026-01-21,19:00:59,0,0,0,0
2026-01-21,19:36:17,0,0,0,0
2026-01-21,20:42:02,0,0,0,0
2026-01-21,21:37:38,0,0,0,0
2026-01-21,22:35:15,0,0,0,0
2026-01-21,23:34:48,0,0,0,0
